gene_id	gene_name	ctenidia	gonad	heart	juvenile	larvae
PGEN_.00g002960	PGEN_.00g002960	0	0.743979	0	0	0
PGEN_.00g002970	PGEN_.00g002970	0	0	0	1.362974	3.201773
PGEN_.00g002980	PGEN_.00g002980	0	0	0	0	0
PGEN_.00g002990	PGEN_.00g002990	0.996819	0	0.535038	0.692263	0.512748
PGEN_.00g003000	PGEN_.00g003000	0.221742	0	0	0.034217	0
PGEN_.00g003010	PGEN_.00g003010	5.463612	3.931116	2.76522	4.930525	3.35597
PGEN_.00g003020	PGEN_.00g003020	0	0	0	0.09867	0
PGEN_.00g003030	PGEN_.00g003030	5.782666	8.579678	5.761405	8.642009	6.995252
PGEN_.00g003040	PGEN_.00g003040	2.909447	2.79321	5.041826	6.531601	5.871355
PGEN_.00g003050	PGEN_.00g003050	13.757713	15.315321	9.500737	15.312588	12.416126
PGEN_.00g003060	PGEN_.00g003060	3.735307	24.29288	8.941274	5.040684	3.343745
PGEN_.00g003070	PGEN_.00g003070	4.007115	6.944152	8.132999	2.381232	1.47838
PGEN_.00g003080	PGEN_.00g003080	0	0	0	0	0
PGEN_.00g003090	PGEN_.00g003090	3.740466	7.808228	12.706753	2.638599	2.634978
PGEN_.00g003100	PGEN_.00g003100	0	0	0	0	0
PGEN_.00g003110	PGEN_.00g003110	4.618154	0	1.775186	9.670997	4.879228
PGEN_.00g003120	PGEN_.00g003120	36.080614	18.274001	22.890028	19.440481	19.629028
PGEN_.00g003130	PGEN_.00g003130	9.168094	33.216873	11.713007	5.50815	8.410923
PGEN_.00g003140	PGEN_.00g003140	11.463877	23.023221	17.131225	20.261476	21.826524
PGEN_.00g003150	PGEN_.00g003150	4.698299	6.458199	4.897342	6.40536	9.709167
PGEN_.00g003160	PGEN_.00g003160	2.226206	3.050778	0.421817	2.695082	3.855732
PGEN_.00g003170	PGEN_.00g003170	9.091821	0.402292	6.769643	4.419124	1.906001
PGEN_.00g003180	PGEN_.00g003180	0.797406	9.587457	2.618566	1.272565	0.159371
PGEN_.00g003190	PGEN_.00g003190	5.119702	7.065059	4.544216	5.468884	3.667416
PGEN_.00g003200	PGEN_.00g003200	0	0	2.758174	1.154252	0
PGEN_.00g003210	PGEN_.00g003210	27.925629	9.675114	15.204453	25.433441	9.469123
PGEN_.00g003220	PGEN_.00g003220	11.831191	0	25.438819	22.468393	64.359806
PGEN_.00g003230	PGEN_.00g003230	5.51583	0.661682	0.031362	10.393952	12.818657
PGEN_.00g003240	PGEN_.00g003240	10.643229	22.312969	21.838692	23.323458	46.616856
PGEN_.00g003250	PGEN_.00g003250	19.34716	53.439574	6.077622	23.455749	45.667384
PGEN_.00g003260	PGEN_.00g003260	0	0	0	0	0
PGEN_.00g003270	PGEN_.00g003270	55.219071	185.897154	97.06121	40.80515	41.22985
PGEN_.00g003280	PGEN_.00g003280	30.282215	99.743001	63.862976	15.856929	35.684892
PGEN_.00g003290	PGEN_.00g003290	166.462759	171.927669	106.975762	171.570442	166.313473
PGEN_.00g003300	PGEN_.00g003300	6.127072	3.059517	2.806445	5.460758	6.544407
PGEN_.00g003310	PGEN_.00g003310	0	0	0	0	0
PGEN_.00g003320	PGEN_.00g003320	0	0	0	0	0
PGEN_.00g003330	PGEN_.00g003330	0	0	0	0	0
PGEN_.00g003340	PGEN_.00g003340	11.233776	1.138343	0.883123	3.325442	0.457586
PGEN_.00g003350	PGEN_.00g003350	2.455959	0	1.948064	7.006465	5.458902
PGEN_.00g003360	PGEN_.00g003360	3.881517	3.645001	8.549154	8.469715	13.801388
